homelat,homelon,homecontinent,n,
29.52,-95.42,North,America,3
43.17,-76.5,North,America,1
41.79,-81.07,North,America,4
39.96,-75.36,North,America,1
43.49,-79.66,North,America,1
37.53,-77.61,North,America,2
41.57,-72.32,North,America,1
35.08,-80.83,North,America,1
33.98,-84.529,North,America,1
43.09,-87.94,North,America,1
27.58,-80.4,North,America,1
35.1,-81.09,North,America,1
30.24,-93.367,North,America,1
29.9680279,-90.0935419,North ,America,1
